time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
2021-10-18 16:00:00 000:000:000,-0.004443881,-0.001450114,0.007683241,0.005051993,0.005893995,0.00052625,-0.004350333,0.000760138,0.01675812,0.016746424
2021-10-18 16:00:00 001:000:000,-0.004771329,-0.001110973,0.008396605,0.004946742,0.005800437,-0.000795221,-0.004502358,0.001064189,0.016711345,0.019050226
2021-10-18 16:00:00 002:000:000,-0.006338378,-0.000853694,0.007542909,0.003344612,0.007952212,-0.000116944,-0.006373469,0.001391637,0.016255258,0.019623257
2021-10-18 16:00:00 003:000:000,-0.005929076,-0.001344863,0.009051491,0.004338629,0.006186353,-0.000666583,-0.005414522,0.001146053,0.017202511,0.020816084
2021-10-18 16:00:00 004:000:000,-0.005660105,-0.001683994,0.008501856,0.003847472,0.007227155,-0.00092386,-0.00550808,0.001590446,0.016699651,0.020781005
2021-10-18 16:00:00 005:000:000,-0.005461296,-0.001648914,0.009343848,0.003508331,0.006326685,-0.000292361,-0.005227415,0.002140081,0.015775785,0.018886507
2021-10-18 16:00:00 006:000:000,-0.00644363,-0.001508582,0.008326434,0.003017164,0.005999247,-0.000116944,-0.005379441,0.002163468,0.015366482,0.01769368
2021-10-18 16:00:00 007:000:000,-0.005625025,-0.001379943,0.008840988,0.003718834,0.006279911,-0.000631499,-0.006654133,0.001742472,0.015834263,0.018535672
2021-10-18 16:00:00 008:000:000,-0.005168938,-0.001660607,0.009098265,0.004935048,0.005297577,-0.001321466,-0.00511047,0.001485195,0.016442373,0.017237592
2021-10-18 16:00:00 009:000:000,-0.006502107,-0.00163722,0.008536937,0.004326936,0.005730276,-0.000385917,-0.005625025,0.001625527,0.015764091,0.017506562
2021-10-18 16:00:00 010:000:000,-0.007203767,-0.001461808,0.008326434,0.004818103,0.006864636,-0.000841999,-0.004537439,0.002397358,0.015600372,0.0180679
2021-10-18 16:00:00 011:000:000,-0.005683492,-0.001064189,0.006993274,0.005051993,0.006174659,-0.000561333,-0.004186604,0.001952975,0.016173404,0.018056197
2021-10-18 16:00:00 012:000:000,-0.00554316,-1.17E-05,0.008794214,0.004946742,0.007004968,-0.000713361,-0.00417491,0.002830048,0.016734732,0.018102981
2021-10-18 16:00:00 013:000:000,-0.006279911,-0.000888777,0.007905438,0.005168938,0.007063435,-0.000152028,-0.003730527,0.003040551,0.014980567,0.015916117
2021-10-18 16:00:00 014:000:000,-0.007905438,-0.000806916,0.008572017,0.004502358,0.00737919,0.000502861,-0.003660356,0.002818354,0.017108954,0.016383898
2021-10-18 16:00:00 015:000:000,-0.007928825,-0.001859417,0.008127634,0.00367205,0.007121913,0.000257277,-0.003356305,0.002666329,0.01639559,0.019178864
2021-10-18 16:00:00 016:000:000,-0.00691141,-0.001274692,0.008724043,0.003403079,0.006735997,-0.00031575,-0.005344351,0.001988055,0.016278645,0.019330898
2021-10-18 16:00:00 017:000:000,-0.007449351,-0.000947249,0.00948418,0.003169189,0.007297325,0.000947249,-0.004186604,0.002350584,0.015612066,0.017904172
2021-10-18 16:00:00 018:000:000,-0.007004968,-0.001941271,0.009764854,0.00323936,0.005578241,0.001122666,-0.004771329,0.003484944,0.01632543,0.02010273
2021-10-18 16:00:00 019:000:000,-0.006502107,-0.001438411,0.010162463,0.00417491,0.006502107,0.000339139,-0.004397107,0.003028857,0.017752146,0.022125866
2021-10-18 16:00:00 020:000:000,-0.007624773,-0.001415024,0.009168436,0.002584474,0.006560575,0.000935554,-0.003344612,0.002900219,0.015179376,0.020441862
2021-10-18 16:00:00 021:000:000,-0.00718038,-0.002654635,0.009706377,0.002479222,0.006537188,0.000385917,-0.004338629,0.002666329,0.015670544,0.017448096
2021-10-18 16:00:00 022:000:000,-0.008174408,-0.002713112,0.009238597,0.002327187,0.005578241,0.000233889,-0.004057965,0.002186855,0.016383898,0.019974092
2021-10-18 16:00:00 023:000:000,-0.005940769,-0.00136825,0.01011568,0.002514303,0.006595655,2.34E-05,-0.003262747,0.002841751,0.015869344,0.01605646
2021-10-18 16:00:00 024:000:000,-0.005823824,-0.002713112,0.010513299,0.002315494,0.006572268,0.001426717,-0.004116443,0.002865138,0.015822569,0.017845705
2021-10-18 16:00:00 025:000:000,-0.006396856,-0.002549384,0.009963654,0.00206991,0.006665826,0.000163722,-0.004093056,0.00206991,0.014910396,0.017085567
2021-10-18 16:00:00 026:000:000,-0.006969877,-0.003169189,0.010022131,0.002151774,0.007203767,0.001087586,-0.004350333,0.001976362,0.01569393,0.018383646
2021-10-18 16:00:00 027:000:000,-0.006548881,-0.002561077,0.010361263,0.001859417,0.007449351,0.000795221,-0.004315242,0.002280413,0.015588679,0.019085316
2021-10-18 16:00:00 028:000:000,-0.0067126,-0.001730778,0.010209238,0.002397358,0.007823573,0.000222195,-0.00437372,0.001146053,0.015483427,0.017413005
2021-10-18 16:00:00 029:000:000,-0.006396856,-0.003087335,0.0094491,0.001485195,0.006782771,0.000327444,-0.00367205,0.00183603,0.015576985,0.017974343
